Salary_low,Salary_med,Salary_upper,Work_env,Buy_rent,Commute,Weekly_commute,Person_crime,Prop_crime,Experience_level,TARGET
55000,67500,80000,1,0,0,0,1,3,1,0
84500,95750,107000,1,0,0,0,4,5,2,1
75000,82500,90000,1,0,0,0,5,4,1,0
55700,63150,70600,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
87300,99150,111000,1,0,0,0,4,5,2,1
94199,108329,122459,2,0,18,126,3,1,2,0
76600,86750,96900,1,0,0,0,5,4,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
106000,120500,135000,1,0,0,0,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
55000,67500,80000,1,0,0,0,1,3,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
84500,95750,107000,1,0,0,0,4,5,2,1
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
55000,67500,80000,1,0,0,0,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,24,168,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
120000,140000,160000,1,1,0,0,1,3,3,0
54000,59400,64800,3,0,105,735,1,3,1,0
63050,97000,130950,3,0,120,840,2,2,2,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
94199,108329,122459,2,0,18,126,3,1,2,0
75000,82500,90000,1,0,0,0,5,4,1,0
54000,59400,64800,3,0,105,735,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
124800,156000,187200,1,1,0,0,1,3,3,0
75000,82500,90000,1,0,0,0,5,4,1,0
94199,108329,122459,2,0,18,126,3,1,2,0
54000,59400,64800,3,0,100,700,1,3,1,0
120000,140000,160000,1,1,0,0,1,3,3,0
