Location,County,Crime_cat,Offense,State,Num_crime
Alexandria City,Alexandria City,C_person,Murder and Nonnegligent Manslaughter,VA,2
Alexandria City,Alexandria City,C_person,Negligent Manslaughter,VA,0
Alexandria City,Alexandria City,C_person,Justifiable Homicide,VA,0
Alexandria City,Alexandria City,C_person,Kidnapping/Abduction,VA,39
Alexandria City,Alexandria City,C_person,Forcible Rape,VA,8
Alexandria City,Alexandria City,C_person,Forcible Sodomy,VA,2
Alexandria City,Alexandria City,C_person,Sexual Assault With An Object,VA,4
Alexandria City,Alexandria City,C_person,Forcible Fondling,VA,8
Alexandria City,Alexandria City,C_person,Incest,VA,0
Alexandria City,Alexandria City,C_person,Statutory Rape,VA,0
Alexandria City,Alexandria City,C_person,Aggravated Assault,VA,237
Alexandria City,Alexandria City,C_person,Simple Assault,VA,"1,417"
Alexandria City,Alexandria City,C_person,Intimidation,VA,294
Alexandria City,Alexandria City,C_person,"Human Trafficking, Commercial Sex Acts",VA,0
Alexandria City,Alexandria City,C_person,"Human Trafficking, Involuntary Servitude",VA,0
Alexandria City,Alexandria City,C_prop,Arson,VA,4
Alexandria City,Alexandria City,C_prop,Bribery,VA,4
Alexandria City,Alexandria City,C_prop,Burglary/Breaking & Entering,VA,160
Alexandria City,Alexandria City,C_prop,Counterfeiting/Forgery,VA,69
Alexandria City,Alexandria City,C_prop,Destruction/Vandalism of Property,VA,"1,342"
Alexandria City,Alexandria City,C_prop,Embezzlement,VA,29
Alexandria City,Alexandria City,C_prop,Extortion/Blackmail,VA,9
Alexandria City,Alexandria City,C_prop,False Pretenses/Swindle/Confidence Game,VA,272
Alexandria City,Alexandria City,C_prop,Credit Card/Automatic Teller Fraud,VA,176
Alexandria City,Alexandria City,C_prop,Impersonation,VA,4
Alexandria City,Alexandria City,C_prop,Welfare Fraud,VA,1
Alexandria City,Alexandria City,C_prop,Wire Fraud,VA,13
Alexandria City,Alexandria City,C_prop,Identity Theft,VA,246
Alexandria City,Alexandria City,C_prop,Hacking/Computer Invasion,VA,12
Alexandria City,Alexandria City,C_prop,Robbery,VA,104
Alexandria City,Alexandria City,C_prop,Pocket-picking,VA,13
Alexandria City,Alexandria City,C_prop,Purse-snatching,VA,9
Alexandria City,Alexandria City,C_prop,Shoplifting,VA,572
Alexandria City,Alexandria City,C_prop,Theft From Building,VA,394
Alexandria City,Alexandria City,C_prop,Theft From Coin Operated Machine or Device,VA,1
Alexandria City,Alexandria City,C_prop,Theft From Motor Vehicle,VA,470
