Title,Job_location,Salary_low,Salary_med,Salary_upper,Remote,Hybrid,On_prem,Source,Work_env,Work_environment,Buy_rent,Home_location,Commute,Weekly_commute,W_com,Person_crime,Prop_crime,Entry,Mid,Senior,Executive,Experience_level,EXP_lev,Salary_s,Commute_S,Per_Crime_S,Prop_Crime_S,Stress,Candidate
Information Security Analyst,"Washington, DC",55000,67500,80000,1,0,0,Indeed,1,Remote,0,"Prince George's County, Maryland",0,0,0 - 14,1,3,1,0,0,0,1,Entry,0,0,0,0,0,0
Security Systems Analyst | REMOTE,"Washington, DC",84500,95750,107000,1,0,0,Indeed,1,Remote,0,"District of Columbia, District of Columbia",0,0,0 - 14,4,5,0,1,0,0,2,Midlevel,1,0,1,1,3,1
Intermediate Information Security Analyst,"Washington, DC",75000,82500,90000,1,0,0,Indeed,1,Remote,0,"Prince William County, Virginia",0,0,0 - 14,5,4,1,0,0,0,1,Entry,0,0,1,0,1,0
Cybersecurity Analyst,"Washington, DC",55700,63150,70600,1,0,0,Indeed,1,Remote,0,"Prince George's County, Maryland",0,0,0 - 14,1,3,1,0,0,0,1,Entry,1,0,0,0,1,0
Cloud Security Architect,"Washington, DC",120000,140000,160000,1,0,0,Indeed,1,Remote,1,"Prince George's County, Maryland",0,0,0 - 14,1,3,0,0,1,0,3,Senior,1,0,0,0,1,0
Cyber Security Instructor (virtual),"Washington, DC",124800,156000,187200,1,0,0,Indeed,1,Remote,1,"Prince George's County, Maryland",0,0,0 - 14,1,3,0,0,1,0,3,Senior,0,0,0,0,0,0
Cybersecurity Analyst,"Washington, DC",87300,99150,111000,1,0,0,Indeed,1,Remote,0,"District of Columbia, District of Columbia",0,0,0 - 14,4,5,0,1,0,0,2,Midlevel,1,0,1,1,3,1
Information Technology CyberSecurity Specialist,"Washington, DC",94199,108329,122459,0,1,0,Indeed,2,Hybrid,0,"Arlington County, Virginia",18,90,0 - 14,3,1,0,1,0,0,2,Midlevel,0,0,0,0,0,0
"Security Operations Center (SOC) Analyst, Tier 1 (Eastern US)","Washington, DC",76600,86750,96900,1,0,0,Indeed,1,Remote,0,"Prince William County, Virginia",0,0,0 - 14,5,4,0,1,0,0,2,Midlevel,1,0,1,0,2,0
Information Security Analyst,"Washington, DC",55000,67500,80000,1,0,0,Indeed,1,Remote,0,"Prince George's County, Maryland",0,0,0 - 14,1,3,1,0,0,0,1,Entry,0,0,0,0,0,0
Intermediate Information Security Analyst,"Washington, DC",75000,82500,90000,1,0,0,Indeed,1,Remote,0,"Prince William County, Virginia",0,0,0 - 14,5,4,1,0,0,0,1,Entry,0,0,1,0,1,0
Cloud Security Architect,"Washington, DC",120000,140000,160000,1,0,0,Indeed,1,Remote,1,"Prince George's County, Maryland",0,0,0 - 14,1,3,0,0,1,0,3,Senior,1,0,0,0,1,0
Cyber Security Instructor (virtual),"Washington, DC",124800,156000,187200,1,0,0,Indeed,1,Remote,1,"Prince George's County, Maryland",0,0,0 - 14,1,3,0,0,1,0,3,Senior,0,0,0,0,0,0
