Incident_case_id,Date,Clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD Beat,Street_Number,Street_Address,Latitude,Longitude,Location 
PP21010100002034,01/01/2021,ACCIDENT WITH IMPOUND,135,A,A2,,16TH AVE / CHILLUM RD EB,38.95588465034962,-76.98210836946964,"(38.95588465034962, -76.98210836946964)"
PP21010100000616,01/01/2021,ACCIDENT WITH IMPOUND,443,K,K4,,BRANCH AVE NB / AUTH RD EB,38.82235473394394,-76.9217410236597,"(38.82235473394394, -76.9217410236597)"
PP21010100000631,01/01/2021,"AUTO, STOLEN",719,H,H7,8400 BLOCK,8490 BURTON LN,38.83285339176655,-76.8623579442501,"(38.83285339176655, -76.8623579442501)"
PP21010100000407,01/01/2021,ASSAULT,504,K,K1,1400 BLOCK,1405 SOUTHERN AVE,38.83547806739807,-76.98243644833565,"(38.83547806739807, -76.98243644833565)"
PP21010100000728,01/01/2021,THEFT,907,C,C6,6000 BLOCK,6000 SANDY SPRING RD,39.099913224577904,-76.90271219611168,"(39.099913224577904, -76.90271219611168)"
PP21010100001476,01/01/2021,"AUTO, STOLEN & RECOVERED",719,H,H7,8400 BLOCK,8411 OLD MARLBORO PIKE,38.83318147063255,-76.86137369275093,"(38.83318147063255, -76.86137369275093)"
PP21010100002170,01/01/2021,ACCIDENT,733,F,F5,6600 BLOCK,6601 SOUTH OSBORNE RD,38.79709230363369,-76.81084886193275,"(38.79709230363369, -76.81084886193275)"
PP21010100001753,01/01/2021,ACCIDENT,858,E,E2,1100 BLOCK,1101 SHOPPERS WAY,38.905031725764275,-76.84693802893162,"(38.905031725764275, -76.84693802893162)"
PP21010100000711,01/01/2021,ACCIDENT,640,W,W5,3700 BLOCK,3700 DANVILLE RD,38.69669881463051,-76.94339452683926,"(38.69669881463051, -76.94339452683926)"
PP21010100001841,01/01/2021,ACCIDENT,157,A,A7,,NEW HAMPSHIRE AVE NB / PINEY BRANCH RD,39.00148822367191,-76.98210836946964,"(39.00148822367191, -76.98210836946964)"
PP21010100000175,01/01/2021,HOMICIDE,110,A,A4,8100 BLOCK,8127 15TH AVE,38.98934914171696,-76.98112411797047,"(38.98934914171696, -76.98112411797047)"
PP21010100002204,01/01/2021,ACCIDENT WITH IMPOUND,417,H,H6,,WALTERS LN / PENNSYLVANIA AVE WB,38.845648646354675,-76.8915573656559,"(38.845648646354675, -76.8915573656559)"
PP21010100001108,01/01/2021,ACCIDENT,608,K,K5,,MARLIN LN / OLD BRANCH AVE,38.807262897491455,-76.91058619320393,"(38.807262897491455, -76.91058619320393)"
PP21010100002174,01/01/2021,ACCIDENT,406,G,G7,900 BLOCK,920 SHADY GLEN DR,38.87648847699165,-76.88138677179813,"(38.87648847699165, -76.88138677179813)"
