"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Amelia County","Crimes Against Person","192"
"Amelia County","Murder and Nonnegligent Manslaughter","1"
"Amelia County","Negligent Manslaughter",""
"Amelia County","Justifiable Homicide",""
"Amelia County","Kidnapping/Abduction","1"
"Amelia County","Forcible Rape","2"
"Amelia County","Forcible Sodomy","2"
"Amelia County","Sexual Assault With An Object","2"
"Amelia County","Forcible Fondling","8"
"Amelia County","Incest","1"
"Amelia County","Statutory Rape",""
"Amelia County","Aggravated Assault","19"
"Amelia County","Simple Assault","133"
"Amelia County","Intimidation","23"
"Amelia County","Human Trafficking, Commercial Sex Acts",""
"Amelia County","Human Trafficking, Involuntary Servitude",""
"Caroline County","Crimes Against Person","290"
"Caroline County","Murder and Nonnegligent Manslaughter","2"
"Caroline County","Negligent Manslaughter","2"
"Caroline County","Justifiable Homicide",""
"Caroline County","Kidnapping/Abduction","10"
"Caroline County","Forcible Rape","9"
"Caroline County","Forcible Sodomy","3"
"Caroline County","Sexual Assault With An Object","1"
"Caroline County","Forcible Fondling","11"
"Caroline County","Incest",""
"Caroline County","Statutory Rape",""
"Caroline County","Aggravated Assault","46"
"Caroline County","Simple Assault","196"
"Caroline County","Intimidation","10"
"Caroline County","Human Trafficking, Commercial Sex Acts",""
"Caroline County","Human Trafficking, Involuntary Servitude",""
"Charles City County","Crimes Against Person","42"
"Charles City County","Murder and Nonnegligent Manslaughter",""
"Charles City County","Negligent Manslaughter",""
"Charles City County","Justifiable Homicide",""
"Charles City County","Kidnapping/Abduction","2"
"Charles City County","Forcible Rape",""
"Charles City County","Forcible Sodomy",""
"Charles City County","Sexual Assault With An Object",""
"Charles City County","Forcible Fondling","2"
"Charles City County","Incest",""
"Charles City County","Statutory Rape",""
"Charles City County","Aggravated Assault","12"
"Charles City County","Simple Assault","20"
"Charles City County","Intimidation","6"
"Charles City County","Human Trafficking, Commercial Sex Acts",""
"Charles City County","Human Trafficking, Involuntary Servitude",""
"Chesterfield County","Crimes Against Person","5,859"
"Chesterfield County","Murder and Nonnegligent Manslaughter","14"
"Chesterfield County","Negligent Manslaughter","1"
"Chesterfield County","Justifiable Homicide",""
"Chesterfield County","Kidnapping/Abduction","98"
"Chesterfield County","Forcible Rape","77"
"Chesterfield County","Forcible Sodomy","26"
"Chesterfield County","Sexual Assault With An Object","5"
"Chesterfield County","Forcible Fondling","281"
"Chesterfield County","Incest","1"
"Chesterfield County","Statutory Rape","5"
"Chesterfield County","Aggravated Assault","337"
"Chesterfield County","Simple Assault","4,473"
"Chesterfield County","Intimidation","535"
"Chesterfield County","Human Trafficking, Commercial Sex Acts","2"
"Chesterfield County","Human Trafficking, Involuntary Servitude","4"
"Colonial Heights City","Crimes Against Person","295"
"Colonial Heights City","Murder and Nonnegligent Manslaughter","3"
"Colonial Heights City","Negligent Manslaughter","1"
"Colonial Heights City","Justifiable Homicide",""
"Colonial Heights City","Kidnapping/Abduction","9"
"Colonial Heights City","Forcible Rape","4"
"Colonial Heights City","Forcible Sodomy","1"
"Colonial Heights City","Sexual Assault With An Object","7"
"Colonial Heights City","Forcible Fondling","5"
"Colonial Heights City","Incest",""
"Colonial Heights City","Statutory Rape",""
"Colonial Heights City","Aggravated Assault","57"
