"Crimes Against Property By City or County"
"Current date: 6/24/2023 10:48:39 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2022"
"Measures: Number of Crimes"
"Offense Type","Crimes Against Property","Arson","Bribery","Burglary/Breaking & Entering","Counterfeiting/Forgery","Destruction/Damage/Vandalism of Property","Embezzlement","Extortion/Blackmail","False Pretenses/Swindle/Confidence Game","Credit Card/Automatic Teller Fraud","Impersonation","Welfare Fraud","Wire Fraud","Identity Theft","Hacking/Computer Invasion","Robbery","Pocket-picking","Purse-snatching","Shoplifting","Theft From Building","Theft From Coin Operated Machine or Device","Theft From Motor Vehicle","Theft of Motor Vehicle Parts/Accessories","All Other Larceny","Motor Vehicle Theft","Stolen Property Offenses",
"Jurisdiction by Geography"
"Amelia County","218","","","13","5","47","1","","9","5","5","1","3","9","1","","","","4","18","","6","32","52","5","2"
"Caroline County","563","3","","37","15","142","2","6","49","22","10","","","39","","3","2","","25","21","1","23","27","120","13","3"
"Charles City County","116","","","11","6","33","","1","2","2","3","","1","3","1","1","","","","","","","7","35","7","3"
"Chesterfield County","10,313","21","","451","152","2,013","92","101","541","355","29","30","543","824","22","108","12","3","1,310","376","17","984","574","1,169","496","90"
"Colonial Heights City","1,129","2","","26","32","137","10","3","204","31","14","","10","25","","14","","","402","79","1","55","10","57","13","4"
"Dinwiddie County","568","1","","32","17","108","7","2","42","17","24","","","1","","7","2","","9","","","","2","267","23","7"
"Essex County","204","3","","12","4","39","1","1","22","7","4","","2","7","2","","","","23","","","2","3","60","10","2"
"Goochland County","472","2","","14","17","104","6","4","55","18","18","1","2","36","1","","1","","9","8","","33","20","97","25","1"
"Hanover County","2,498","6","","43","98","442","34","29","345","83","228","1","1","12","6","6","1","","346","134","1","154","146","299","68","15"
"Henrico County","12,874","31","1","536","250","2,133","78","36","437","453","2","","379","688","19","114","37","10","2,457","919","10","1,734","810","1,073","615","52"
"Hopewell City","799","2","","64","10","188","6","3","43","22","6","1","6","4","","30","2","1","61","48","1","74","47","121","50","9"
"King & Queen County","48","","","3","1","14","","","5","3","3","","","1","","1","","","","","","","2","13","2",""
"King George County","584","3","","25","20","122","9","1","37","19","9","2","22","35","5","5","1","","64","2","","30","30","105","24","14"
"King William County","257","1","1","5","11","68","3","","40","10","3","1","13","9","1","1","","","8","3","1","12","8","54","3","1"
"Lancaster County","155","1","1","5","4","33","5","","13","2","","","6","3","","","","","30","2","","4","9","33","3","1"
"Louisa County","660","2","","18","14","169","9","2","33","16","42","1","3","","","1","17","","54","28","","57","15","144","33","2"
"New Kent County","384","2","1","9","17","96","4","5","35","17","12","","4","22","1","2","2","","9","4","1","10","2","118","4","7"
"Northumberland County","111","","","4","2","29","1","","10","3","1","2","7","5","","","","1","1","7","","1","2","32","2","1"
"Nottoway County","423","3","1","30","16","83","5","1","27","5","2","","1","10","","","2","","56","4","1","4","1","146","19","6"
"Petersburg City","1,421","3","","90","14","386","11","1","17","10","15","2","4","20","","45","1","","66","32","1","191","165","248","94","5"
"Powhatan County","579","3","","10","9","114","3","3","43","24","24","","2","","","1","5","","14","","","40","","280","3","1"
"Prince George County","982","5","","53","19","210","15","8","40","29","6","26","37","59","11","16","","","98","61","12","62","57","96","48","14"
"Richmond City","12,083","37","","788","222","2,910","41","14","223","315","25","1","19","162","9","223","6","3","1,123","904","5","2,165","858","1,240","775","15"
"Richmond County","53","1","","5","3","8","1","","6","","","","","","","","1","","4","","","1","","20","2","1"
"Westmoreland County","296","2","","12","9","91","3","1","29","4","1","2","","8","1","2","1","","3","9","","6","7","94","9","2"
"Division 1 - Education","927","2","","14","5","405","1","14","8","23","","","2","3","","5","","","12","179","1","45","37","152","17","2"
"Division 1 - Other","168","","","5","3","29","1","","28","1","3","","1","2","","","","","1","14","","7","18","32","21","2"
"Clarke County","188","","","9","2","63","","1","17","2","7","","4","16","3","","","","4","6","1","3","9","33","8",""
"Culpeper County","1,015","4","3","17","18","231","12","9","172","26","33","","10","20","2","7","","2","161","25","5","60","33","130","33","2"
"Fauquier County","1,087","2","","22","21","269","12","17","92","60","17","","122","87","2","5","","","68","42","","47","23","147","28","4"
"Frederick County","1,739","","","69","44","366","12","4","263","","3","6","65","1","1","7","","","257","104","","133","80","239","72","13"
"Fredericksburg City","2,002","5","","57","18","406","21","8","187","82","18","1","7","65","4","14","1","","500","120","4","108","101","218","50","7"
"Harrisonburg City","1,776","1","","67","103","293","23","15","149","71","8","3","72","76","1","8","","","221","137","2","137","121","201","52","15"
"Madison County","205","","","6","8","38","3","2","19","10","","2","17","9","","","","","9","11","","9","11","43","7","1"
"Orange County","480","","","28","9","97","9","2","41","15","20","1","3","2","2","3","1","","36","30","","28","11","125","14","3"
"Page County","496","3","","39","14","105","3","","31","14","5","1","6","6","2","","","","23","21","1","39","34","136","8","5"
"Rappahannock County","76","","","3","2","19","","","","","1","","1","1","1","","","","","","","","7","39","1","1"
"Rockingham County","964","","","91","41","196","7","13","118","39","17","5","16","22","1","6","3","","23","17","1","44","88","165","34","17"
"Shenandoah County","824","2","","22","43","233","7","5","89","20","38","","","1","","3","","","25","148","1","52","7","112","11","5"
"Spotsylvania County","1,487","6","","65","48","311","24","10","205","49","12","","","83","14","14","3","8","104","44","2","28","18","332","86","21"
"Stafford County","3,772","8","2","108","84","564","46","69","526","215","112","76","196","366","62","31","1","","258","273","3","215","184","256","102","15"
"Warren County","837","","","33","41","157","9","7","95","28","29","2","9","14","1","3","","1","124","75","1","48","19","106","32","3"
"Winchester City","1,210","6","","75","17","186","11","4","99","37","3","1","","28","","12","","","313","2","","39","15","319","31","12"
"Division 2 - Education","278","1","","3","7","86","","20","3","7","3","","1","","","2","","","4","20","","12","9","94","4","2"
"Division 2 - Other","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albemarle County","3,019","3","","104","44","607","18","12","187","104","112","1","48","6","","15","3","2","608","89","4","314","197","416","109","16"
"Amherst County","591","1","","20","17","92","5","3","66","10","11","","1","2","","2","3","","11","2","","3","1","280","51","10"
"Appomattox County","181","","","4","5","42","2","2","14","2","7","","","","","","1","","10","","","","","92","",""
"Augusta County","1,503","5","","149","55","256","24","4","111","48","24","3","108","94","3","4","1","1","50","65","7","97","111","213","68","2"
"Buckingham County","270","3","","22","5","60","2","","8","3","2","","","4","1","1","","","3","13","","22","12","74","34","1"
"Campbell County","1,123","6","1","72","23","203","21","3","97","9","47","3","1","","","1","","3","39","66","2","91","55","293","70","17"
"Charlotte County","168","","","15","13","34","","","9","4","","","1","2","","","","","4","8","1","5","6","54","11","1"
"Charlottesville City","2,274","2","1","128","23","443","6","8","59","73","22","2","16","1","1","35","10","5","142","338","2","342","140","299","168","8"
"Cumberland County","84","","","7","5","24","","","12","1","2","","","3","","","","","1","","","1","","24","3","1"
"Fluvanna County","341","3","","20","6","80","1","2","33","17","30","","1","","","3","","","2","5","","5","20","91","15","7"
"Greene County","435","1","","20","14","111","5","3","26","13","6","","3","9","1","1","","","55","10","1","31","31","75","16","3"
"Halifax County","620","1","","53","20","114","8","","46","22","10","1","16","7","2","2","","1","70","15","1","61","10","119","32","9"
"Lunenburg County","129","1","","19","4","28","1","1","6","1","3","","","1","","","1","","1","1","1","1","1","52","6",""
"Lynchburg City","3,236","6","","223","25","685","22","6","232","91","55","3","5","26","2","52","","7","416","","","390","94","573","314","9"
"Mecklenburg County","594","1","","33","29","102","7","1","49","8","12","4","","1","","7","7","","85","10","2","","","207","27","2"
"Nelson County","405","","","24","14","105","2","","42","16","2","","2","11","5","","","","3","41","3","25","38","54","15","3"
"Prince Edward County","519","2","","17","6","107","5","","51","9","13","1","","2","","2","","1","111","24","","39","17","97","14","1"
"Staunton City","915","7","","33","40","144","18","8","150","47","","","7","","","3","","2","99","22","","94","37","172","20","12"
"Waynesboro City","807","4","","39","32","162","9","1","136","13","1","2","2","","","7","","2","31","26","1","58","27","208","40","6"
"Division 3 - Education","616","1","","5","18","168","1","18","9","10","8","","4","1","1","1","","","7","50","1","20","35","166","91","1"
"Bland County","98","","","14","2","15","","","13","1","4","1","","5","","","","","4","","","","1","34","4",""
"Bristol City","793","","1","52","20","164","5","2","45","51","1","2","5","7","2","5","2","","64","42","2","51","13","208","45","4"
"Buchanan County","543","4","","42","30","83","1","3","54","4","10","1","","16","2","2","","","40","5","","5","7","177","51","6"
"Carroll County","431","2","","50","9","88","2","","36","12","","1","","8","","","","","11","19","1","15","8","127","31","11"
"Dickenson County","152","2","","11","7","16","1","1","14","8","9","2","1","12","","","","","6","6","","9","2","33","10","2"
"Galax City","439","","","22","27","69","16","","29","30","","","2","1","","1","","","97","13","3","11","3","81","31","3"
"Giles County","325","2","","22","13","53","3","","26","11","3","","","10","","","","","31","6","","32","5","92","14","2"
"Grayson County","266","3","","6","4","71","1","","13","9","5","4","2","12","","2","","","7","4","","3","4","87","28","1"
"Lee County","448","8","","45","3","103","1","","15","10","","3","5","2","1","2","","","28","30","","8","10","145","25","4"
"Norton City","296","3","","6","2","16","","","14","2","1","","1","3","","2","","","194","16","","4","8","7","16","1"
"Pulaski County","1,479","2","1","120","26","266","7","2","133","69","9","1","8","17","1","4","1","2","286","89","1","58","47","269","50","10"
"Russell County","403","7","","28","10","78","2","","27","6","4","2","","15","","2","","1","58","7","","10","20","93","31","2"
"Scott County","542","10","","59","19","103","2","4","20","11","5","1","","15","","4","12","","19","20","1","12","8","165","38","14"
"Smyth County","539","5","","32","12","91","2","","30","18","1","3","","8","1","4","","","46","29","2","27","6","161","56","5"
"Tazewell County","1,033","3","","75","29","143","11","4","93","15","3","1","9","79","1","6","2","1","258","31","1","33","15","174","42","4"
"Washington County","1,316","7","","121","50","168","11","4","160","45","23","","","34","","4","1","","181","9","","58","33","311","87","9"
"Wise County","967","8","","54","19","278","2","1","34","9","14","","3","7","1","3","","","44","80","2","36","54","246","65","7"
"Wythe County","806","","","40","31","113","5","1","78","28","26","","1","1","","1","","118","126","26","7","29","10","94","58","13"
"Division 4 - Education","15","1","","1","1","4","","1","1","","","","","","","","","","","1","","","","5","",""
"Accomack County","600","2","","52","13","130","4","","48","20","2","4","13","18","1","12","2","","19","5","","16","14","199","22","4"
"Brunswick County","215","1","","26","6","45","2","","6","5","4","","","","","3","1","2","3","2","2","","9","71","21","6"
"Chesapeake City","10,001","16","2","415","243","1,829","65","70","692","349","123","3","433","477","61","105","6","7","1,186","683","12","884","984","626","566","164"
"Emporia City","358","1","","24","9","96","6","","15","5","5","","","","","10","19","1","34","2","1","","4","107","14","5"
"Franklin City","544","3","1","26","16","160","11","1","39","17","","1","","4","1","11","","","109","8","","27","13","71","16","9"
"Gloucester County","709","3","","12","12","179","9","2","73","9","32","","6","6","","4","","","71","","","1","5","249","33","3"
